id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,big_diff
571,52.38408,39.20311,65.05726,2.50994,14.59488,0.778527,0.195435,0.02451,1,1,230.315916,312.546895,-114.942742,2.509943,52.541561,1.517083,0.363525,0,1,0,0.25,6.272857,0
572,52.3922,39.17568,63.31367,2.50599,14.60988,0.915092,0.216291,0.09191,1,1,230.307798,312.574319,-116.686335,2.505985,52.595581,1.386394,0.258204,0.092645,1,0,0.15,6.032964,0
573,52.40424,38.83831,52.41163,2.27945,14.07053,2.483277,4,0.045327,0,0,230.295763,312.91169,-127.588366,2.279445,50.653901,0.910258,0.302362,0.019382,1,1,0.15,5.187286,0
574,52.6838,45.34882,56.6085,1.55303,21.45016,0.148384,0.057376,0,0,1,230.016205,306.401183,-123.391499,1.55303,77.220572,0.439208,0.212788,0,1,0,0.35,2.414716,0
575,52.68522,45.27077,56.32265,1.44176,21.45743,0.463386,0.054857,0,0,1,230.014783,306.479227,-123.677349,1.441762,77.246748,0.378429,0.105116,1.13899,1,1,0.2,2.647978,0
576,52.69413,45.27143,56.25556,1.44106,21.4575,0.467143,0.055067,0,0,1,230.005868,306.47857,-123.744436,1.441062,77.246982,0.081176,0.212783,0.419941,1,1,0.2,2.644526,0
577,52.99226,46.37523,132.19705,1.20572,18.04636,0.092862,4,0,0,1,229.707737,305.374769,-47.802946,1.205722,64.966886,0.058013,4,0,0,1,0.65,1.357704,0
578,53.1174,38.24912,57.11516,3.49429,22.98565,3.156846,4,0.007315,0,0,229.582605,313.500883,-122.884841,3.494295,82.748336,0.244669,0.266589,0.577574,1,1,0.15,6.695062,0
579,53.47733,41.98941,138.93336,3.14871,10.75475,1.613336,0.205136,0,1,0,229.222669,309.760591,-41.066636,3.148712,38.717094,0.733808,4,0,0,0,0.5,1.858104,0
580,53.64233,46.40929,131.85589,1.20156,18.05404,0.161005,0.077718,0,1,1,229.057671,305.340709,-48.144107,1.201563,64.994547,0.297327,4,0,0,1,0.6,1.320047,0
581,53.91509,46.3669,133.38159,1.19912,18.05924,0.063231,4,0,0,1,228.784915,305.383096,-46.618414,1.199115,65.013248,0.048718,4,0,0,1,0.6,1.286336,0
582,53.91586,46.36691,133.38177,1.19912,18.05924,0.063478,4,0,0,1,228.784144,305.383092,-46.618227,1.199124,65.013248,0.049308,4,0,0,1,0.7,1.286284,0
583,53.92055,46.36915,133.36442,1.19885,18.05958,0.067424,4,0,0,1,228.77945,305.380849,-46.635579,1.198854,65.014499,0.050973,4,0,0,1,0.55,1.285226,0
584,53.92813,46.36865,133.37082,1.19864,18.05943,0.069975,4,0,0,1,228.771867,305.381351,-46.629182,1.198642,65.013945,0.057764,4,0,0,1,0.5,1.285669,0
585,53.92868,46.36733,133.36736,1.19884,18.05945,0.069384,4,0,0,1,228.771321,305.382667,-46.632642,1.198835,65.014002,0.058922,4,0,0,1,0.6,1.286758,0
586,53.98199,46.96157,64.97608,1,21.1568,0.52876,0.064734,0,0,1,228.718007,304.788427,-115.023924,1,76.164497,0.559562,0.119442,0,1,0,0.2,1.911021,0
587,58.13701,40.00751,136.016,2.94877,10.85818,0.39371,4,0.053385,0,1,224.562995,311.742493,-43.984005,2.948771,39.089451,0.420425,4,0.362012,0,1,0.5,0.429022,0
588,58.96231,39.98773,134.80333,2.97374,10.72937,0.894817,0.140071,0,1,1,223.737692,311.762274,-45.196674,2.973744,38.62574,0.238729,4,0.307564,0,1,0.6,0.384883,0
589,64.22302,37.66763,104.70077,2.90287,21.4052,2.975087,4,0.100058,0,0,218.476982,314.082367,-75.299228,2.902869,77.058704,0.16779,4,1.663979,0,1,0.4,10.373634,0
590,64.23121,37.6692,104.71683,2.91099,21.39791,2.951423,4,0.024736,0,0,218.468794,314.080804,-75.283171,2.910988,77.032468,0.189085,4,1.597755,0,1,0.25,10.364271,0
591,66.15036,39.6424,117.01343,2.56558,20.93871,2.312199,4,0.230946,0,0,216.549637,312.107602,-62.986573,2.565581,75.379364,0.083461,4,0.358015,0,1,0.25,7.029749,0
592,66.88639,42.55318,157.69819,5,14.9449,0.251197,4,0,0,1,215.813608,309.196817,-22.301807,5,53.80165,0.703867,4,0,0,0,0.6,10.534367,0
593,68.06742,44.56516,134.01446,1.75978,23.21139,0.703334,0.103146,0.141291,0,1,214.632585,307.18484,-45.985536,1.759777,83.561004,0.411227,4,0.100946,0,1,0.55,2.031952,0
594,68.39265,43.06007,129.41584,2.09614,22.82602,1.148512,0.123107,0.122872,0,1,214.307355,308.689931,-50.584158,2.096144,82.17366,0.485425,4,0.621191,0,1,0.45,3.211526,0
595,68.3933,43.06138,129.40873,2.09649,22.81805,1.146567,0.123478,0.091584,0,1,214.306703,308.688621,-50.591274,2.09649,82.144962,0.137902,4,0.584246,0,1,0.55,3.20904,0
596,68.39588,43.05497,129.48283,2.0959,22.82816,1.158459,0.123033,0.132463,0,1,214.304119,308.695035,-50.517172,2.0959,82.181375,0.473421,4,0.640875,0,1,0.4,3.211641,0
597,68.89606,43.41932,131.17906,2.12105,23.00031,0.874398,0.091988,0.052197,0,1,213.803945,308.330681,-48.820944,2.121054,82.801124,0.167668,4,0.222105,0,1,0.4,2.665202,0
598,68.89848,43.41687,131.22929,2.12059,23.00409,0.880179,0.091704,0.066403,0,1,213.801516,308.333133,-48.770714,2.120587,82.814711,0.148026,4,0.234802,0,1,0.3,2.664733,0
599,69.9037,41.31963,154.00361,3.7701,8.55748,2.470531,0.329695,0,1,0,212.796296,310.430374,-25.996388,3.770104,30.806922,0.008047,4,0.522956,0,1,0.35,13.781206,0
600,69.96118,43.11124,130.88316,2.11113,22.96144,1.102664,0.117587,0.086557,0,1,212.738822,308.638756,-49.116841,2.11113,82.661198,0.047072,4,0.501155,0,1,0.25,2.947643,0
601,70.38582,40.9052,50.81239,1.97313,22.00176,2.702349,4,0.008199,0,0,212.314183,310.844805,-129.18761,1.973133,79.206346,0.044106,0.158953,0.012504,1,1,0.35,4.799736,0
602,70.39129,40.90517,50.81299,1.97324,22.00364,2.702006,4,0.007921,0,0,212.308709,310.844826,-129.187011,1.973244,79.213116,0.044144,0.158953,0.012118,1,1,0.3,4.799604,0
603,70.52234,40.92718,50.58663,1.96315,22.15792,2.753953,4,0.017553,0,0,212.177658,310.822823,-129.41337,1.963145,79.768529,0.108898,0.212784,0.509445,1,1,0.1,4.805589,0
604,70.52566,40.92722,50.70564,1.96103,22.16446,2.750286,4,0.062761,0,0,212.174345,310.822782,-129.294364,1.961025,79.792071,0.365625,0.105115,0.012235,1,1,0.3,4.821881,0
605,71.0711,46.66753,48.11373,1,24.19613,0.1203,0.043174,0,0,1,211.628902,305.082469,-131.886271,1,87.106059,0.360421,0.266622,0,1,1,0.2,1.309537,0
606,71.40493,44.72206,154.10914,4.03012,24.81672,0.36183,0.168703,0,0,1,211.295066,307.027939,-25.890856,4.030123,89.340201,0.497388,4,0,0,0,0.5,4.422316,0
607,71.49162,44.74076,154.126,4.0297,24.81673,0.370484,0.17196,0,0,1,211.208377,307.009239,-25.874004,4.029703,89.340244,0.528139,0.218357,0,0,0,0.25,4.453838,0
608,71.60469,40.95014,50.97453,1.93301,21.93383,2.653734,4,0.033534,0,0,211.095309,310.799862,-129.025474,1.93301,78.961797,0.21598,0.105119,0.208933,1,1,0.3,4.775988,0
609,71.64739,40.90672,152.3583,3.56307,8.35863,3.473853,0.370442,0,1,0,211.052607,310.84328,-27.641705,3.563072,30.091062,0.498734,4,0.171916,0,1,0.35,12.870648,0
610,71.67273,40.9186,152.37177,3.56901,8.35116,3.602715,0.370725,0,1,0,211.027266,310.831405,-27.628235,3.569011,30.064193,0.49372,4,0.170449,0,1,0.35,12.937212,0
611,71.69216,40.9088,152.36757,3.56697,8.34832,3.591555,0.374516,0,1,0,211.007842,310.841204,-27.632428,3.566965,30.053952,0.516334,0.045616,0.146377,1,1,0.25,12.928504,0
