x_0,y_0,theta,v_p,v_c,OF1,OF3,OF2,Simulator,SafeViol
40.335651,46.781912,52.152876,1.485657,24.962694,0.061223,0.041944,0,PreScan,True
40.339081,47.979604,159.89396,1.408188,16.613459,0.271767,0.36803,0,PreScan,True
40.357209,44.271099,93.361886,2.360094,19.968283,0.213858,0.050333,0,PreScan,True
40.373594,46.777821,52.13118,1.475288,25,0.065275,0.044001,0,PreScan,True
40.441692,46.79393,52.12363,1.462023,24.986061,0.106541,0.041685,0,PreScan,True
40.515193,46.748265,52.153302,1.477967,25,0.089145,0.041791,0,PreScan,True
40.649601,46.976872,103.759094,1,18.500098,0.290071,0.054051,0,PreScan,False
40.652995,46.911837,103.349652,1.007662,18.45016,0.252045,0.059485,0,PreScan,False
40.708572,46.745966,103.52213,1,18.533924,0.108322,0.053436,0,PreScan,False
40.723164,46.745383,103.183872,1,18.471878,0.095943,0.061255,0,PreScan,False
40.834398,44.899735,130.3608,1.82853,15.206412,0.426373,0.069373,0.052317,PreScan,False
40.838571,44.925976,130.202649,1.82523,15.176217,0.393325,0.069033,0.066738,PreScan,False
40.855182,43.34958,98.06308,1.681844,12.164311,0.06347,0.081678,0.19708,PreScan,False
40.942827,45.170844,129.172034,1.866592,15.158736,0.045024,4,0,PreScan,True
41.057751,44.900917,124.212706,1.493202,13.266822,0.302826,0.077993,0.01326,PreScan,False
41.160833,45.914675,145.965819,2.535621,14.904831,0.557559,0.06579,0,PreScan,False
41.332663,38.838614,105.342591,4.388691,16.434146,0.008294,0.080102,0.200645,PreScan,False
41.33553,38.839809,105.347474,4.385997,16.433972,0.009629,0.080371,0.186453,PreScan,False
41.346319,38.83733,105.347016,4.387987,16.432715,0.022392,0.080928,0.140463,PreScan,False
41.349102,38.838915,105.340663,4.389071,16.431887,0.028343,0.081171,0.123126,PreScan,False
41.65435,38.713261,105.551655,4.384539,16.372364,0.032993,0.062115,0.317551,PreScan,False
41.725445,43.999026,95.704089,1.989525,16.891587,0.065421,0.0678,0.018348,PreScan,False
41.732893,43.995318,95.921015,2.007994,17.115291,0.021333,0.088209,0.039348,PreScan,False
41.746482,43.999297,95.848198,2.01269,17.049388,0.057043,0.096828,0.006096,PreScan,False
41.748951,43.999249,95.853939,2.01284,17.037702,0.071162,0.058196,0.005958,PreScan,False
41.770429,38.770894,105.22379,4.355468,16.412665,0.009887,0.065461,0.275336,PreScan,False
41.773302,38.772149,105.228665,4.35285,16.412487,0.016198,0.065638,0.260702,PreScan,False
41.775335,38.770629,105.250161,4.358352,16.407972,0.018018,0.065407,0.242418,PreScan,False
41.781202,38.768298,105.223349,4.357306,16.411416,0.021379,0.064917,0.228648,PreScan,False
41.78815,43.998034,95.7384,1.996514,17.220065,0.024186,0.077418,0.066472,PreScan,False
41.795201,43.990359,95.80396,2.01334,17.239365,0.04201,0.074687,0.053816,PreScan,False
41.86965,48,150.870053,1,16.390019,0.384563,0.059398,0,PreScan,False
41.878282,44.03405,96.047994,1.99066,17.201648,0.027293,0.084874,0.033004,PreScan,False
42.007759,48,150.939539,1,16.390035,0.391468,0.060391,0,PreScan,False
42.288029,45.759123,149.897858,2.809998,18.812043,0.229435,0.061257,0,PreScan,False
43.902852,47.861792,145.990035,1.026159,17.692952,0.427553,0.055853,0,PreScan,False
43.994052,47.867169,145.950111,1.025325,17.753793,0.428586,0.056685,0,PreScan,False
43.998125,47.895804,145.866507,1.026066,17.736802,0.464625,0.056637,0,PreScan,False
43.999184,47.895286,145.738948,1.025581,17.739752,0.467696,0.056521,0,PreScan,False
44.337055,47.941097,149.687521,1,17.718409,0.349856,0.068821,0,PreScan,False
44.344118,47.969686,149.531018,1,17.696368,0.38475,0.073065,0,PreScan,False
45.62805,46.743538,151.285499,1.547101,15.231221,0.038735,4,0,PreScan,True
45.827355,48,160,1,15.422806,0.16496,0.207354,0,PreScan,True
45.915634,47.226839,154.109302,1.543496,18.275935,0.011442,0.066315,0,PreScan,True
46.402711,47.983058,154.742482,1,20.770884,0.100723,0.185311,0,PreScan,True
46.623284,39.514318,101.643004,4.624363,21.604037,0.121314,0.212153,0.012887,PreScan,True
46.658793,39.253599,101.290302,4.680336,21.513965,0.023853,0.05261,0.0867,PreScan,True
46.663204,39.255044,101.297533,4.672569,21.515259,0.010476,0.081082,0.067108,PreScan,True
47.101316,47.094367,137.859953,1.00052,18.960559,0.100174,0.074056,0,PreScan,True
47.106169,40.820148,72.104482,2.947697,17.529151,0.014115,0.064028,0.065987,PreScan,False
47.127966,47.106209,136.668986,1,18.945636,0.051557,0.178805,0,PreScan,True
47.275427,47.113224,136.729008,1,19.015214,0.04119,0.178138,0,PreScan,True
47.27751,40.785751,74.423795,2.944197,17.533089,0.01383,0.059676,0.119659,PreScan,False
47.300568,40.783088,74.212567,2.943505,17.532561,0.059706,0.059662,0.252058,PreScan,False
47.311975,35,105.000389,5,15.111268,0.158487,0.065828,0.248984,PreScan,False
47.322661,35,104.995643,5,15.111727,0.159829,0.065334,0.208188,PreScan,False
47.32648,35,106.691724,5,15.354686,0.26963,0.154712,0.024664,PreScan,False
47.511765,35,104.926196,5,15.486901,0.121681,0.111881,0.146288,PreScan,False
47.513034,47.843126,155.743817,1,20.441406,0.040591,4,0,PreScan,True
47.631107,40.821318,71.875117,2.92688,17.544683,0.005271,0.088972,0.059656,PreScan,False
47.642724,45.983793,103.894424,1.55762,22.830528,0.299246,0.059048,0,PreScan,True
47.745192,46.120802,141.649513,2.789333,21.427561,0.826741,0.049941,0,PreScan,True
47.863247,48,155.797326,1.004265,16.375753,0.349141,0.062751,0,PreScan,False
48.045485,48,155.628288,1.004422,16.376423,0.363007,0.06434,0,PreScan,False
48.176868,48,155.612045,1,16.33762,0.363021,0.062085,0,PreScan,False
48.183594,48,155.697773,1.00446,16.37644,0.357285,0.060853,0,PreScan,False
48.345597,47.253709,142.594082,1,18.179157,0.073113,0.127859,0,PreScan,True
48.388158,47.250924,142.559276,1.000195,18.181962,0.015024,0.129786,0,PreScan,True
48.913139,40.820125,72.468704,2.8767,17.595121,0.058472,0.059611,0.126984,PreScan,False
49.199843,39.89608,103.738456,3.243128,16.357785,0.167712,0.062207,0.356681,PreScan,False
49.203423,39.899524,104.031857,3.231519,16.373816,0.12126,0.06509,0.259009,PreScan,False
49.293745,45.832702,108.534557,1.190844,17.999374,0.087574,0.062212,0,PreScan,False
49.295461,45.843046,108.541618,1.236869,18.025462,0.19121,0.057839,0,PreScan,False
