id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,SafeViol
188,43.998125,47.895804,145.866507,1.026066,17.736802,0.464625,0.056637,0,1,1,238.701875,303.854196,-34.133493,1.026066,63.852487,0.250329,4,0,0,1,0.6,0.075454,0
189,43.999184,47.895286,145.738948,1.025581,17.739752,0.467696,0.056521,0,1,1,238.700816,303.854714,-34.261052,1.025581,63.863107,0.230609,4,0,0,1,0.6,0.080065,0
190,44.337055,47.941097,149.687521,1,17.718409,0.349856,0.068821,0,1,1,238.362945,303.808903,-30.312479,1,63.786272,0.565973,4,0,0,1,0.5,0.056394,0
191,44.344118,47.969686,149.531018,1,17.696368,0.38475,0.073065,0,1,1,238.355882,303.780314,-30.468982,1,63.706925,0.366277,0.141939,0,1,1,0.3,0.070942,0
192,45.62805,46.743538,151.285499,1.547101,15.231221,0.038735,4,0,0,1,237.07195,305.006462,-28.714501,1.547101,54.832396,0.649105,4,0.356071,0,1,0.3,0.617683,1
193,45.827355,48,160,1,15.422806,0.16496,0.207354,0,0,1,236.872645,303.75,-20,1,55.522102,0.839465,4,0,0,1,0.35,0.730446,1
194,45.915634,47.226839,154.109302,1.543496,18.275935,0.011442,0.066315,0,0,1,236.784366,304.523161,-25.890698,1.543496,65.793366,0.662271,4,0.221069,0,1,0.3,0.589932,1
195,46.402711,47.983058,154.742482,1,20.770884,0.100723,0.185311,0,0,1,236.297289,303.766942,-25.257518,1,74.775182,0.858388,0.141899,0.186261,1,1,0.2,0.041437,1
196,46.623284,39.514318,101.643004,4.624363,21.604037,0.121314,0.212153,0.012887,0,1,236.076716,312.235682,-78.356996,4.624363,77.774533,1.662887,4,0.221972,0,0,0.25,8.815123,1
197,46.658793,39.253599,101.290302,4.680336,21.513965,0.023853,0.05261,0.0867,0,1,236.041207,312.496401,-78.709698,4.680336,77.450274,1.67607,4,1.833724,0,0,0.4,9.102939,1
198,46.663204,39.255044,101.297533,4.672569,21.515259,0.010476,0.081082,0.067108,0,1,236.036796,312.494956,-78.702467,4.672569,77.454932,1.662403,4,1.822907,0,0,0.4,9.102627,1
199,47.101316,47.094367,137.859953,1.00052,18.960559,0.100174,0.074056,0,0,1,235.598684,304.655633,-42.140047,1.00052,68.258012,0.734823,0.10508,0.189273,1,1,0.2,1.125192,1
200,47.106169,40.820148,72.104482,2.947697,17.529151,0.014115,0.064028,0.065987,1,1,235.593831,310.929852,-107.895518,2.947697,63.104944,3.170499,0.485268,0,1,0,0.15,6.27019,0
201,47.127966,47.106209,136.668986,1,18.945636,0.051557,0.178805,0,0,1,235.572034,304.643791,-43.331014,1,68.20429,0.740013,4,0.064563,0,1,0.2,1.147665,1
202,47.275427,47.113224,136.729008,1,19.015214,0.04119,0.178138,0,0,1,235.424573,304.636776,-43.270992,1,68.45477,0.730424,4,0.061,0,1,0.3,1.139305,1
203,47.27751,40.785751,74.423795,2.944197,17.533089,0.01383,0.059676,0.119659,1,1,235.42249,310.964249,-105.576205,2.944197,63.11912,3.202116,0.489872,0,1,0,0.15,6.661511,0
204,47.300568,40.783088,74.212567,2.943505,17.532561,0.059706,0.059662,0.252058,1,1,235.399432,310.966912,-105.787433,2.943505,63.11722,3.232058,0.489908,0,1,0,0.25,6.630305,0
205,47.311975,35,105.000389,5,15.111268,0.158487,0.065828,0.248984,1,1,235.388025,316.75,-74.999611,5,54.400565,3.679276,4,0.391679,0,0,0.1,11.904521,0
206,47.322661,35,104.995643,5,15.111727,0.159829,0.065334,0.208188,1,1,235.377339,316.75,-75.004357,5,54.402217,3.418071,0.430872,0.352466,1,0,0.2,11.904903,0
207,47.32648,35,106.691724,5,15.354686,0.26963,0.154712,0.024664,1,1,235.37352,316.75,-73.308276,5,55.27687,2.567482,0.382705,1.203653,1,0,0.2,11.59656,0
208,47.511765,35,104.926196,5,15.486901,0.121681,0.111881,0.146288,1,1,235.188235,316.75,-75.073804,5,55.752844,3.225947,0.424258,1.361806,1,0,0.1,11.964453,0
209,47.513034,47.843126,155.743817,1,20.441406,0.040591,4,0,0,1,235.186966,303.906874,-24.256183,1,73.589062,1.252493,0.119381,0.428814,1,1,0.15,0.08373,1
210,47.631107,40.821318,71.875117,2.92688,17.544683,0.005271,0.088972,0.059656,1,1,235.068893,310.928682,-108.124883,2.92688,63.160859,3.296249,0.489838,0,1,0,0.2,6.22926,0
211,47.642724,45.983793,103.894424,1.55762,22.830528,0.299246,0.059048,0,0,1,235.057276,305.766207,-76.105576,1.55762,82.189901,0.124932,4,1.305289,0,1,0.6,3.283814,1
212,47.745192,46.120802,141.649513,2.789333,21.427561,0.826741,0.049941,0,0,1,234.954808,305.629198,-38.350487,2.789333,77.13922,0.567163,4,0,0,0,0.75,0.62823,1
213,47.863247,48,155.797326,1.004265,16.375753,0.349141,0.062751,0,1,1,234.836753,303.75,-24.202674,1.004265,58.952711,0.568849,4,0,0,1,0.35,0.610869,0
214,48.045485,48,155.628288,1.004422,16.376423,0.363007,0.06434,0,1,1,234.654515,303.75,-24.371712,1.004422,58.955123,0.429145,4,0,0,1,0.35,0.617106,0
215,48.176868,48,155.612045,1,16.33762,0.363021,0.062085,0,1,1,234.523132,303.75,-24.387955,1,58.815432,0.515018,4,0,0,1,0.35,0.61876,0
216,48.183594,48,155.697773,1.00446,16.37644,0.357285,0.060853,0,1,1,234.516406,303.75,-24.302227,1.00446,58.955184,0.475928,0.141944,0,1,1,0.2,0.627356,0
217,48.345597,47.253709,142.594082,1,18.179157,0.073113,0.127859,0,0,1,234.354403,304.496291,-37.405918,1,65.444965,0.66564,4,0.217117,0,1,0.4,0.701474,1
218,48.388158,47.250924,142.559276,1.000195,18.181962,0.015024,0.129786,0,0,1,234.311842,304.499076,-37.440724,1.000195,65.455063,0.687919,4,0.170114,0,1,0.2,0.704182,1
219,48.913139,40.820125,72.468704,2.8767,17.595121,0.058472,0.059611,0.126984,1,1,233.786861,310.929875,-107.531296,2.8767,63.342436,3.796503,0.546312,0,1,0,0.4,6.31537,0
220,49.199843,39.89608,103.738456,3.243128,16.357785,0.167712,0.062207,0.356681,1,1,233.500157,311.85392,-76.261544,3.243128,58.888026,2.445144,0.374132,0,1,0,0.2,8.155132,0
221,49.203423,39.899524,104.031857,3.231519,16.373816,0.12126,0.06509,0.259009,1,1,233.496577,311.850476,-75.968143,3.231519,58.945738,2.270882,0.374132,0,1,0,0.2,8.117854,0
222,49.293745,45.832702,108.534557,1.190844,17.999374,0.087574,0.062212,0,1,1,233.406255,305.917298,-71.465443,1.190844,64.797746,0.292223,0.190122,0,1,1,0.25,3.191182,0
223,49.295461,45.843046,108.541618,1.236869,18.025462,0.19121,0.057839,0,1,1,233.404539,305.906954,-71.458382,1.236869,64.891663,0.371887,0.286457,0,1,0,0.2,3.146435,0
224,49.299041,45.846489,108.835019,1.225261,18.041493,0.174043,0.055242,0,1,1,233.400959,305.903511,-71.164981,1.225261,64.949375,0.318569,0.190121,0,0,1,0.2,3.137266,0
225,49.591609,43.172448,108.248157,2.723954,20.731448,0.328018,0.048154,0,0,1,233.108391,308.577552,-71.751843,2.723954,74.633213,1.373649,0.180352,0,1,0,0.25,5.010208,1
226,49.591619,43.176781,108.250675,2.72418,20.715631,0.340795,0.04795,0,0,1,233.108381,308.573219,-71.749325,2.72418,74.576272,1.383266,4,0,0,0,0.35,5.004306,1
227,49.595997,43.132254,107.499023,2.60304,21.039502,0.063371,0.161025,0.035019,0,1,233.104003,308.617746,-72.500977,2.60304,75.742207,0.899648,4,0.933718,0,0,0.4,5.214572,1
228,49.59687,43.128235,109.348325,2.692689,21.004479,0.09595,4,0,0,1,233.10313,308.621765,-70.651675,2.692689,75.616124,1.000845,4,1.368405,0,0,0.3,4.988991,1
229,50.665225,41.603889,64.288882,3.452452,23.704371,0.093766,0.045388,0.195977,0,1,232.034775,310.146111,-115.711118,3.452452,85.335736,1.595483,0.208647,0.142545,1,0,0.15,4.69894,1
230,50.673142,41.734217,60.811596,3.448839,23.424538,0.037499,0.046017,0.190896,0,1,232.026858,310.015783,-119.188404,3.448839,84.328337,1.849567,0.32039,0.776319,1,0,0.15,4.076941,1
231,50.673603,41.732199,60.757124,3.448999,23.424266,0.045831,0.046012,0.177182,0,1,232.026397,310.017801,-119.242876,3.448999,84.327358,1.85161,0.320382,0.757727,1,0,0.1,4.071853,1
232,50.67702,41.666664,62.585247,3.460087,23.59944,0.08177,0.060255,0.07564,0,1,232.02298,310.083336,-117.414753,3.460087,84.957984,1.716653,0.2415,0.15741,1,0,0.2,4.387228,1
233,50.684438,41.708005,61.906191,3.45642,23.593837,0.071018,0.06401,0.133261,0,1,232.015562,310.041995,-118.093809,3.45642,84.937813,1.746398,0.302513,0.94277,1,0,0.2,4.2632,1
